FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
609,Manipur,TAMENGLONG,20.856,20.764,21.53,21.301,22.423,21.16,21.249,21.407,21.786,21.885,21.533,22.271,21.452,21.681,21.321,22.125,20.853,21.581,22.409,20.557,20.982,20.914,20.769,21.933,21.228,22.163,22.213,21.518,23.147,22.352,21.757,21.954,21.936,21.86,21.796,21.892,21.845,21.875,22.357,22.065,22.409,21.892,21.504,21.928,22.762,21.975,23.258,22.636,21.249,22.191,22.929,22.767
610,Manipur,TENGNOUPAL,20.801,20.764,21.516,21.274,22.413,21.181,21.169,21.271,21.695,21.909,21.52,22.387,21.339,21.668,21.409,21.549,20.858,21.595,22.489,20.557,21.017,20.817,20.821,21.829,21.331,22.196,22.264,21.547,23.215,22.369,21.832,22.008,21.992,21.972,21.833,21.929,21.966,21.8,22.371,22.107,22.441,21.906,21.546,21.993,22.8,22.009,23.289,22.672,21.26,22.224,22.948,22.769
611,Manipur,THOUBAL,20.798,20.714,21.466,21.256,22.336,21.179,21.145,21.247,21.714,21.876,21.501,22.35,21.315,21.589,21.359,21.552,20.83,21.613,22.491,20.508,21.023,20.726,20.822,21.719,21.344,22.196,22.266,21.551,23.132,22.387,21.852,22.016,21.996,21.976,21.844,21.936,21.971,21.803,22.376,22.111,22.449,21.889,21.538,22.0,22.802,22.015,23.289,22.677,21.268,22.227,22.954,22.776
612,Manipur,UKHRUL,20.803,20.692,21.371,21.237,22.267,21.3,21.153,21.077,21.45,21.702,21.316,22.17,21.136,21.528,21.222,21.752,20.566,21.333,22.113,20.359,20.702,20.769,20.441,21.804,20.866,21.979,22.038,21.322,23.029,22.119,21.531,21.726,21.726,21.603,21.526,21.674,21.665,21.89,22.193,21.907,22.204,21.894,21.28,21.506,22.584,21.766,23.097,22.51,21.14,22.008,22.655,22.714
613,Meghalaya,EAST GARO HILLS,19.252,18.927,19.548,19.384,19.722,18.465,19.379,18.751,19.671,19.434,19.587,19.589,18.817,19.164,19.113,19.251,18.974,19.93,20.308,18.943,19.533,18.696,18.506,19.449,19.17,19.942,19.795,19.074,21.022,20.207,19.584,19.711,19.771,19.63,19.348,19.691,19.789,19.967,20.15,19.749,20.096,19.655,19.133,19.581,20.159,19.562,20.852,20.408,19.174,19.958,20.854,20.457
614,Meghalaya,EAST JAINTIA HILLS,19.598,19.232,20.049,19.623,20.506,18.975,19.704,19.675,20.438,20.248,20.138,20.41,19.586,20.044,19.727,20.269,19.553,20.442,20.832,19.092,19.973,19.073,19.34,20.096,19.806,20.571,20.538,19.948,21.591,20.822,20.241,20.422,20.355,20.259,20.224,20.351,20.36,20.313,20.767,20.491,20.774,20.231,19.854,20.312,20.996,20.303,21.555,21.127,19.809,20.67,21.532,21.149
615,Meghalaya,EAST KHASI HILLS,18.592,18.062,18.896,18.538,19.02,17.638,18.52,18.275,19.134,18.818,18.861,18.89,18.166,18.6,18.399,18.912,18.32,19.249,19.617,18.04,19.018,17.802,18.159,18.81,18.616,19.335,19.257,18.658,20.324,19.603,19.015,19.19,19.101,19.065,18.954,19.037,19.092,19.18,19.554,19.228,19.527,18.947,18.514,19.028,19.678,19.085,20.25,19.898,18.67,19.481,20.428,19.931
616,Meghalaya,NORTH GARO HILLS,19.746,19.382,19.913,19.865,20.232,18.929,19.979,19.272,20.191,19.957,20.087,20.054,19.332,19.584,19.609,19.728,19.551,20.47,20.84,19.502,20.078,19.311,19.178,19.915,19.623,20.465,20.294,19.322,21.541,20.725,20.096,20.187,20.303,20.141,19.853,20.194,20.386,20.491,20.664,20.238,20.601,20.166,19.638,20.089,20.672,20.065,21.368,20.919,19.685,20.443,21.342,20.965
617,Meghalaya,RI BHOI,19.419,19.032,19.603,19.223,19.547,18.375,19.283,18.907,19.672,19.442,19.569,19.584,18.953,19.232,18.989,19.799,18.872,19.879,20.148,18.703,19.579,18.554,18.785,19.464,19.101,19.922,19.792,19.295,20.972,20.215,19.559,19.762,19.676,19.526,19.495,19.55,19.492,20.049,20.249,19.887,20.149,19.571,19.092,19.632,20.377,19.67,20.905,20.51,19.267,20.108,21.047,20.604
618,Meghalaya,SOUTH GARO HILLS,18.467,18.215,18.906,18.701,18.995,17.767,18.619,18.088,19.022,18.816,18.838,18.873,18.126,18.542,18.435,18.545,18.327,19.156,19.531,18.126,18.87,17.93,17.824,18.755,18.574,19.224,19.12,18.487,20.186,19.488,18.94,19.093,19.039,18.941,18.814,19.036,19.247,19.199,19.42,19.056,19.391,18.906,18.459,18.904,19.434,18.931,20.091,19.725,18.544,19.279,20.172,19.719
