FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
606,Manipur,NONEY,27.295,26.908,27.154,27.374,26.998,27.451,26.829,27.448,27.653,27.591,28.009,27.818,27.711,27.942,27.542,27.533,27.37,27.336,27.374,27.168,26.402,27.465,27.39,27.102,28.134,27.76,27.666,27.63,27.955,27.809,27.58,27.976,27.735,27.917,27.649,28.208,28.173,27.929,28.004,28.424,28.166,28.158,27.952,28.485,28.327,28.089,28.35,27.873,28.279,28.431,28.385,28.218
607,Manipur,PHERZAWL,27.238,26.719,27.2,27.321,27.01,27.493,26.875,27.426,27.648,27.67,27.938,27.82,27.72,27.894,27.514,27.533,27.474,27.441,27.447,27.26,26.64,27.492,27.581,27.061,28.222,27.842,27.746,27.605,28.043,27.888,27.679,28.058,27.824,28.03,27.75,28.328,28.332,28.012,28.066,28.491,28.275,28.213,28.135,28.529,28.399,28.145,28.44,27.967,28.383,28.568,28.501,28.302
608,Manipur,SENAPATI,27.47,27.188,27.281,27.541,27.047,27.578,26.95,27.492,27.626,27.565,27.976,27.781,27.638,27.896,27.545,27.488,27.379,27.192,27.403,27.088,26.403,27.504,27.341,27.237,28.08,27.602,27.556,27.564,27.837,27.749,27.41,27.966,27.645,27.771,27.523,28.047,27.729,27.872,28.04,28.38,28.001,28.135,27.615,28.538,28.206,28.09,28.276,27.779,28.16,28.132,28.113,28.005
609,Manipur,TAMENGLONG,27.369,27.044,27.236,27.453,27.011,27.531,26.942,27.553,27.697,27.563,28.134,27.784,27.665,28.004,27.577,27.533,27.381,27.249,27.39,27.124,26.481,27.625,27.4,27.319,28.096,27.683,27.605,27.608,27.894,27.781,27.484,27.977,27.695,27.854,27.568,28.092,27.771,27.906,28.03,28.421,28.067,28.164,27.676,28.531,28.281,28.112,28.295,27.804,28.206,28.254,28.233,28.15
610,Manipur,TENGNOUPAL,27.284,26.937,27.211,27.368,27.006,27.501,26.799,27.426,27.595,27.554,27.921,27.774,27.644,27.87,27.506,27.449,27.29,27.239,27.314,27.115,26.319,27.48,27.312,27.12,28.06,27.693,27.601,27.57,27.857,27.756,27.513,27.916,27.667,27.863,27.53,28.064,27.796,27.886,27.951,28.395,28.037,28.142,27.68,28.498,28.271,28.079,28.262,27.787,28.17,28.249,28.229,28.139
611,Manipur,THOUBAL,27.283,26.932,27.109,27.356,26.943,27.527,26.849,27.35,27.556,27.527,27.917,27.755,27.654,27.854,27.465,27.449,27.288,27.263,27.311,27.106,26.322,27.303,27.316,26.933,28.069,27.696,27.609,27.565,27.904,27.747,27.531,27.915,27.67,27.864,27.527,28.067,27.809,27.887,27.952,28.393,28.044,28.15,27.681,28.499,28.276,28.082,28.261,27.79,28.182,28.257,28.249,28.16
612,Manipur,UKHRUL,27.447,27.159,27.313,27.523,27.069,27.589,26.96,27.497,27.621,27.574,27.951,27.782,27.633,27.882,27.546,27.48,27.391,27.162,27.415,27.092,26.354,27.5,27.311,27.256,28.108,27.573,27.547,27.554,27.812,27.752,27.373,27.974,27.613,27.731,27.501,28.025,27.751,27.876,28.059,28.372,27.952,28.156,27.554,28.576,28.165,28.092,28.277,27.807,28.143,28.051,28.017,27.931
613,Meghalaya,EAST GARO HILLS,25.147,24.941,25.11,25.352,24.615,24.877,24.898,25.173,25.343,25.477,25.64,25.482,25.243,25.322,24.88,25.062,25.313,25.315,25.315,25.191,25.428,25.18,25.127,24.757,25.942,25.402,25.439,25.442,25.794,25.588,25.412,25.864,25.38,25.65,25.375,26.107,25.995,25.866,25.811,26.354,25.946,26.014,25.549,26.263,25.905,25.601,26.109,25.84,26.308,26.458,26.038,26.39
614,Meghalaya,EAST JAINTIA HILLS,25.325,24.868,25.196,25.383,24.955,25.208,25.021,25.556,25.733,25.723,26.136,25.786,25.642,25.832,25.453,25.515,25.585,25.592,25.414,25.149,24.877,25.394,25.371,25.064,26.2,25.733,25.667,25.673,25.962,25.833,25.601,26.044,25.699,25.9,25.692,26.215,26.028,25.96,26.018,26.478,26.074,26.171,25.698,26.482,26.185,25.923,26.333,25.934,26.351,26.497,26.301,26.395
615,Meghalaya,EAST KHASI HILLS,24.243,23.821,24.064,24.327,23.662,23.908,23.957,24.305,24.489,24.552,24.866,24.51,24.314,24.487,24.073,24.175,24.404,24.455,24.296,24.118,24.438,24.175,24.134,23.835,25.036,24.532,24.484,24.499,24.82,24.688,24.476,24.883,24.48,24.776,24.558,25.057,24.898,24.82,24.819,25.32,24.898,24.995,24.47,25.29,24.988,24.722,25.187,24.815,25.287,25.472,25.227,25.372
616,Meghalaya,NORTH GARO HILLS,25.929,25.71,25.857,26.125,25.357,25.588,25.681,25.935,26.139,26.231,26.41,26.223,25.948,26.067,25.624,25.854,26.135,26.092,26.125,25.995,26.256,26.133,26.117,25.521,26.741,26.182,26.254,26.273,26.592,26.349,26.209,26.665,26.171,26.447,26.204,26.911,26.91,26.664,26.612,27.155,26.743,26.814,26.346,27.066,26.706,26.395,26.899,26.64,27.112,27.262,26.827,27.186
617,Meghalaya,RI BHOI,25.305,24.993,25.14,25.421,24.543,25.01,25.071,25.346,25.462,25.583,25.97,25.631,25.329,25.574,25.126,25.218,25.448,25.406,25.372,25.112,25.668,25.112,25.183,24.823,26.044,25.441,25.455,25.559,25.841,25.707,25.43,25.972,25.532,25.73,25.548,26.036,25.724,25.901,25.936,26.364,25.882,26.051,25.365,26.349,26.002,25.759,26.197,25.826,26.293,26.432,26.2,26.405
618,Meghalaya,SOUTH GARO HILLS,24.003,23.695,23.967,24.205,23.52,23.76,23.724,24.035,24.212,24.366,24.455,24.338,24.154,24.235,23.752,23.914,24.175,24.219,24.118,24.036,24.261,23.896,23.89,23.648,24.765,24.269,24.246,24.142,24.602,24.439,24.292,24.673,24.268,24.51,24.294,24.918,24.887,24.645,24.574,25.123,24.755,24.783,24.417,25.042,24.74,24.45,24.952,24.65,25.105,25.291,24.95,25.169
619,Meghalaya,SOUTH WEST GARO HILLS,28.273,27.838,28.002,28.33,27.703,28.088,27.946,28.24,28.355,28.651,28.734,28.749,28.311,28.434,27.881,28.274,28.636,28.294,28.457,28.349,28.652,28.468,28.212,27.809,29.032,28.019,28.512,28.581,28.724,28.647,28.547,28.995,28.444,28.902,28.526,29.21,29.24,28.977,28.91,29.499,29.088,28.977,28.484,29.493,29.114,28.768,29.315,29.28,29.441,29.654,28.992,29.521
620,Meghalaya,SOUTH WEST KHASI HILLS,24.284,23.937,24.131,24.407,23.611,23.884,23.948,24.28,24.447,24.552,24.811,24.507,24.311,24.469,24.036,24.151,24.352,24.449,24.307,24.211,24.495,24.152,24.088,23.813,25.003,24.492,24.438,24.421,24.809,24.671,24.465,24.863,24.457,24.761,24.516,25.067,24.919,24.828,24.804,25.327,24.905,24.996,24.478,25.281,24.963,24.689,25.167,24.819,25.287,25.461,25.176,25.376
621,Meghalaya,WEST GARO HILLS,24.886,24.608,24.748,24.99,24.389,24.764,24.638,24.906,25.054,25.259,25.356,25.283,24.961,25.064,24.588,24.886,25.212,24.991,25.117,24.986,25.259,25.056,24.91,24.541,25.629,24.858,25.172,25.217,25.403,25.28,25.171,25.552,25.06,25.469,25.164,25.793,25.825,25.58,25.517,26.034,25.663,25.644,25.238,26.015,25.668,25.382,25.836,25.818,26.036,26.139,25.638,26.076
622,Meghalaya,WEST JAINTIA HILLS,25.189,24.635,24.983,25.149,24.676,24.935,24.891,25.351,25.499,25.459,25.977,25.506,25.333,25.605,25.186,25.253,25.326,25.321,25.155,24.859,24.931,25.067,25.095,24.731,25.934,25.424,25.411,25.425,25.71,25.576,25.377,25.805,25.39,25.625,25.428,25.912,25.68,25.707,25.745,26.217,25.762,25.901,25.278,26.199,25.874,25.625,26.064,25.692,26.156,26.317,26.089,26.257
623,Meghalaya,WEST KHASI HILLS,24.341,24.048,24.219,24.474,23.691,23.987,24.067,24.378,24.51,24.62,24.9,24.616,24.405,24.558,24.126,24.243,24.429,24.488,24.398,24.252,24.569,24.251,24.172,23.885,25.086,24.551,24.528,24.552,24.901,24.753,24.529,24.969,24.531,24.82,24.548,25.153,24.935,24.946,24.935,25.436,24.994,25.11,24.537,25.384,25.036,24.764,25.236,24.912,25.377,25.525,25.205,25.479
624,Mizoram,AIZAWL,27.455,26.886,27.402,27.565,27.154,27.637,27.116,27.595,27.827,27.933,28.059,27.956,27.858,27.992,27.612,27.663,27.793,27.758,27.691,27.545,27.216,27.776,27.959,27.309,28.474,28.092,27.994,27.686,28.292,28.142,27.954,28.317,28.084,28.34,27.997,28.577,28.557,28.281,28.295,28.742,28.527,28.461,28.385,28.776,28.649,28.394,28.692,28.221,28.639,28.827,28.758,28.559
625,Mizoram,CHAMPHAI,27.296,26.755,27.266,27.387,27.004,27.526,26.919,27.405,27.617,27.72,27.869,27.756,27.669,27.824,27.438,27.481,27.563,27.503,27.509,27.365,26.999,27.655,27.842,27.131,28.287,27.908,27.812,27.447,28.108,27.957,27.768,28.14,27.909,28.179,27.817,28.392,28.364,28.108,28.111,28.561,28.347,28.281,28.214,28.602,28.471,28.216,28.513,28.04,28.453,28.64,28.577,28.37
