FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
104,Andhra Pradesh,CHITTOOR,29.853,29.199,29.167,30.651,29.672,30.489,30.044,29.546,29.949,29.949,30.518,30.391,30.203,31.024,29.747,30.644,30.172,30.191,30.597,30.35,30.025,30.842,29.862,30.507,30.101,29.559,30.31,29.572,30.928,29.807,29.871,30.297,30.444,31.141,29.823,30.299,30.16,30.325,29.572,30.174,30.925,29.781,30.832,30.828,30.44,30.002,31.248,31.388,30.364,31.536,30.437,29.946
105,Rajasthan,CHURU,28.709,28.03,27.603,28.49,28.399,27.636,26.88,27.879,28.15,26.685,28.387,28.342,25.163,26.129,29.374,30.053,28.089,27.753,29.46,27.618,27.786,27.83,27.607,28.258,28.663,27.69,28.451,26.719,28.111,29.188,29.037,28.657,29.964,28.663,30.047,27.849,29.474,28.96,28.918,29.583,31.896,28.831,28.176,28.751,27.318,28.057,29.688,29.591,29.804,28.267,27.542,28.483
106,Tamil Nadu,COIMBATORE,25.222,24.724,24.411,25.828,25.348,25.579,25.217,25.324,25.409,25.382,25.667,25.513,25.816,26.638,25.384,25.89,26.122,26.205,25.99,25.619,25.471,26.554,25.893,25.878,25.547,25.496,25.577,25.388,26.678,25.038,25.369,25.671,25.826,26.37,25.748,25.791,25.207,25.924,24.92,25.676,26.484,25.37,25.958,26.305,26.045,25.475,27.108,26.399,25.678,26.912,26.561,25.542
107,Tamil Nadu,CUDDALORE,30.37,29.725,29.239,30.931,29.831,30.523,30.053,29.925,30.329,30.496,30.361,30.532,30.279,30.857,29.939,31.088,30.575,30.512,31.005,30.437,30.749,31.121,30.006,30.284,30.431,29.948,30.573,30.449,31.671,30.258,30.955,30.673,30.936,31.006,30.321,30.66,30.588,30.801,30.182,30.647,31.388,30.508,31.464,31.441,30.657,30.34,31.482,31.623,30.868,31.869,31.202,31.12
108,Andhra Pradesh,CUDDAPAH,31.416,30.433,30.879,32.37,31.279,31.799,31.27,30.942,31.512,31.354,32.246,31.804,31.605,32.25,31.55,32.062,31.861,31.686,32.03,31.696,31.365,32.296,31.602,32.034,31.816,31.195,31.969,30.384,32.438,31.226,31.422,32.001,31.862,32.659,31.17,31.86,31.593,31.819,30.995,31.619,32.277,31.008,31.938,32.203,31.657,31.538,32.754,32.835,31.861,32.912,31.798,30.959
109,Odisha,CUTTACK,30.043,28.112,30.584,30.116,30.135,29.689,29.329,28.987,29.942,30.277,30.639,29.135,29.839,29.799,29.993,29.848,28.947,29.031,29.439,30.076,28.727,30.34,29.378,29.262,30.159,29.503,30.022,28.846,29.95,30.412,30.004,29.892,30.37,30.333,29.948,30.216,29.854,30.139,29.968,30.576,31.009,29.458,30.61,30.142,29.916,30.098,30.909,30.209,29.657,30.039,28.9,30.32
110,Gujarat,DAHOD,30.579,30.015,29.874,30.726,30.642,30.012,29.487,30.737,29.859,29.623,31.247,29.926,28.457,28.13,30.047,29.956,29.726,30.098,30.448,29.669,29.026,30.077,29.271,29.646,30.139,29.174,30.202,28.68,30.436,29.223,28.933,30.282,30.633,30.019,30.544,29.977,29.937,30.211,29.656,30.515,31.679,29.737,29.328,29.763,29.36,29.764,30.664,30.143,30.675,29.838,29.752,30.148
111,Chhattisgarh,DANTEWARA,30.121,28.437,30.024,31.442,30.279,30.898,29.739,29.161,29.692,29.554,30.714,29.294,29.832,30.088,29.669,30.319,29.616,28.825,30.239,30.079,28.625,30.264,30.265,29.651,30.154,28.882,29.708,28.723,30.0,29.558,29.443,29.388,30.103,30.493,29.543,29.929,28.807,29.736,29.384,29.832,30.733,29.099,30.03,29.841,29.21,29.268,30.538,30.077,29.547,30.402,29.125,29.11
112,Karnataka,DAKSHINA KANNADA,27.275,26.937,27.067,27.968,27.355,27.071,26.84,27.624,26.783,27.361,27.256,27.335,26.906,27.306,27.323,27.353,27.747,27.411,27.61,27.158,26.444,27.339,27.098,27.009,27.059,27.283,27.614,27.326,28.393,27.168,27.048,26.928,27.721,28.027,27.091,27.288,26.949,27.429,26.629,27.556,27.769,26.748,27.273,27.41,27.454,26.991,28.544,27.614,27.168,27.934,28.004,27.832
113,Madhya Pradesh,DAMOH,29.68,28.993,29.288,30.665,30.516,30.201,29.424,30.322,29.7,28.859,31.045,29.776,28.146,28.859,30.122,30.727,29.282,29.427,30.647,29.579,28.796,29.998,29.444,29.696,30.011,28.875,30.025,28.614,29.377,30.552,29.369,29.68,30.424,29.959,30.657,29.238,29.729,29.925,30.108,30.298,32.037,30.284,29.787,29.842,28.818,29.127,30.808,30.534,30.743,29.937,29.026,29.258
114,Gujarat,DANG,29.002,28.83,28.909,29.909,29.482,28.769,28.58,29.761,28.751,28.594,29.526,29.056,28.349,28.551,29.613,29.381,29.367,29.315,29.157,28.834,27.975,28.698,28.574,28.746,29.116,28.435,29.516,28.568,29.566,28.889,28.669,28.522,29.351,28.817,29.281,28.678,28.192,29.574,29.144,29.934,30.546,29.25,28.762,29.548,29.159,29.576,30.362,29.907,30.208,29.67,29.6,29.725
115,Madhya Pradesh,DATIA,29.814,29.088,29.389,29.98,30.441,29.202,28.917,29.329,29.569,28.185,30.666,29.597,27.768,27.754,30.314,30.717,29.065,29.359,30.747,29.223,29.555,29.885,29.229,29.267,30.139,29.231,29.751,28.154,29.419,30.463,29.355,29.335,30.668,29.89,31.332,29.618,30.541,29.985,30.311,30.145,32.34,30.297,29.785,29.875,28.633,29.165,30.999,30.499,30.734,29.515,28.866,29.61
