FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
74,Karnataka,BIDAR,24.028,23.806,22.977,25.235,23.739,23.096,22.162,23.953,23.376,24.091,24.484,23.56,24.712,23.512,23.788,24.373,22.995,23.85,24.159,23.746,23.846,24.47,23.058,23.734,24.303,22.521,24.5,22.924,24.573,23.597,24.118,24.469,23.783,25.069,23.533,24.32,23.291,23.812,23.956,25.173,24.434,23.2,24.503,25.084,23.793,24.325,25.908,24.395,23.551,23.839,24.267,23.912
75,Chhattisgarh,BIJAPUR,23.314,23.026,21.914,24.055,22.631,22.186,21.273,22.501,21.941,22.897,23.762,22.211,23.499,22.964,22.895,23.099,21.796,22.14,23.349,22.901,23.212,23.63,22.214,22.879,23.011,21.672,23.35,21.615,23.485,22.582,22.563,22.818,22.882,23.629,21.896,23.34,22.529,22.601,22.725,24.036,22.843,21.877,22.725,23.118,22.601,22.168,24.135,22.666,22.254,22.033,22.565,22.987
76,Karnataka,VIJAYAPURA,24.755,24.223,23.393,25.735,24.39,23.715,22.767,24.461,24.42,25.035,25.046,24.396,25.133,24.413,24.965,25.132,23.945,24.338,25.035,24.423,24.518,25.163,23.815,24.329,24.741,23.52,24.978,23.575,24.867,24.159,24.815,25.053,24.788,25.912,24.397,25.192,23.394,24.12,23.919,25.171,24.614,23.09,24.663,25.231,24.156,23.893,25.643,24.414,24.036,24.253,25.075,24.663
77,Uttar Pradesh,BIJNOR,13.911,13.886,13.584,15.09,14.093,13.199,14.764,14.57,13.443,14.247,14.567,14.348,14.055,12.736,12.749,14.15,13.976,15.093,15.476,13.216,14.678,14.128,13.579,15.062,14.803,13.717,14.512,13.507,13.985,14.4,13.687,14.498,14.281,13.048,14.063,14.339,16.796,14.482,13.319,15.834,14.492,13.837,13.551,13.482,13.428,14.595,15.501,15.457,15.19,13.918,13.613,15.57
78,Rajasthan,BIKANER,16.427,15.765,14.823,16.305,14.515,13.878,16.75,16.032,15.285,15.803,16.28,16.801,15.173,15.337,14.143,16.363,15.366,17.102,17.878,15.54,17.644,15.95,16.053,17.435,16.767,16.197,16.889,16.266,16.598,16.665,15.925,16.759,16.327,15.808,16.815,15.401,19.17,17.049,14.88,18.274,17.371,16.297,15.338,16.338,15.783,17.318,17.805,17.178,18.34,16.344,16.296,17.933
79,Chhattisgarh,BILASPUR,15.406,15.08,14.859,16.153,14.858,14.221,14.896,15.53,14.413,15.233,16.176,15.303,15.382,14.812,14.575,15.335,15.268,15.412,16.205,15.199,16.707,16.158,14.847,16.102,15.956,14.502,15.872,14.932,15.243,15.837,15.047,15.807,15.579,15.651,15.009,15.572,17.263,15.91,14.8,17.313,15.503,15.228,14.967,15.433,15.466,15.631,16.709,16.412,16.191,15.195,14.49,16.62
80,Jharkhand,BOKARO,19.033,18.382,17.612,20.438,18.45,18.481,19.403,19.292,17.891,18.533,19.134,18.502,19.628,18.306,17.992,18.753,18.636,18.457,18.303,17.738,19.038,19.246,17.773,19.785,18.925,17.477,18.805,17.731,18.007,19.255,18.23,18.888,19.05,17.504,17.715,19.186,20.3,18.65,18.008,20.795,18.405,18.395,18.74,18.242,18.217,19.158,20.094,19.642,18.75,18.685,17.991,19.267
81,Odisha,BALANGIR,23.16,22.36,21.501,22.846,21.664,21.572,21.339,22.119,22.427,22.586,23.556,22.246,23.665,22.873,22.758,22.577,21.659,21.368,22.465,21.606,22.478,22.746,20.939,21.825,22.033,20.236,22.246,21.452,22.21,22.141,22.181,21.933,21.01,22.531,20.915,22.169,22.197,22.057,21.556,23.326,21.694,21.007,21.395,21.988,21.253,21.581,22.979,22.101,21.972,21.281,21.409,22.782
82,Gujarat,BOTAD,21.206,20.794,20.645,21.258,21.045,20.879,21.889,21.687,21.213,21.149,21.738,21.875,21.838,20.677,19.877,21.47,21.763,22.674,23.58,21.459,23.078,21.229,21.137,22.807,22.456,21.475,22.448,21.186,21.757,22.248,21.999,21.986,21.934,23.186,21.906,20.682,23.292,22.822,20.215,23.128,22.945,21.656,20.747,22.048,21.498,22.355,22.922,23.094,23.365,21.582,21.824,22.63
83,Odisha,BOUDH,22.599,21.697,20.87,22.542,21.006,21.082,20.558,21.431,21.629,21.87,22.503,21.577,23.028,22.214,22.214,22.062,20.969,20.713,21.851,21.015,21.881,22.087,20.438,21.275,21.301,19.857,21.669,20.694,21.813,21.531,22.164,21.265,20.408,21.646,20.106,21.34,21.822,21.762,20.917,22.859,21.212,20.479,20.927,21.337,20.686,21.004,22.587,21.605,21.254,20.71,20.562,22.266
