FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
605,Manipur,KANGPOKPI,23.355,23.069,23.436,23.695,23.604,23.941,23.547,23.416,23.662,23.949,23.769,23.83,23.779,23.52,23.642,23.819,23.417,23.52,23.646,23.15,22.6,23.279,23.222,23.301,23.784,23.931,24.004,23.369,24.102,24.558,23.451,23.93,23.793,23.803,23.781,23.991,24.183,23.868,24.064,24.623,24.438,24.099,23.708,24.526,24.667,24.372,24.585,24.141,23.851,24.181,24.18,24.645
606,Manipur,NONEY,23.421,23.087,23.391,23.733,23.612,23.726,23.356,23.457,23.748,24.037,23.913,23.884,23.876,23.65,23.677,23.869,23.488,23.692,23.781,23.29,22.657,23.367,23.298,23.241,23.966,24.102,24.171,23.507,24.206,24.696,23.654,24.085,23.962,24.008,24.002,24.26,24.636,23.972,24.148,24.729,24.621,24.166,23.997,24.585,24.712,24.447,24.79,24.281,23.986,24.397,24.34,24.767
607,Manipur,PHERZAWL,23.512,23.117,23.647,23.809,23.838,23.994,23.62,23.638,23.902,24.313,24.051,24.074,24.067,23.844,23.884,24.063,23.81,23.999,24.072,23.596,23.113,23.625,23.701,23.434,24.275,24.401,24.457,23.754,24.481,24.994,23.963,24.386,24.268,24.328,24.356,24.627,25.02,24.274,24.445,25.012,24.941,24.426,24.363,24.847,24.964,24.718,25.122,24.585,24.284,24.735,24.634,25.053
608,Manipur,SENAPATI,23.381,23.112,23.294,23.739,23.464,23.778,23.357,23.286,23.525,23.788,23.629,23.677,23.621,23.368,23.489,23.662,23.255,23.344,23.469,22.994,22.405,23.15,23.005,23.177,23.598,23.738,23.821,23.197,23.977,24.398,23.29,23.795,23.681,23.599,23.591,23.805,23.958,23.78,23.911,24.457,24.242,23.985,23.542,24.341,24.446,24.203,24.403,23.998,23.744,23.958,24.012,24.444
609,Manipur,TAMENGLONG,23.404,23.104,23.38,23.736,23.554,23.806,23.49,23.484,23.754,23.91,23.946,23.772,23.776,23.587,23.571,23.845,23.384,23.513,23.618,23.152,22.593,23.379,23.206,23.333,23.772,23.924,24.01,23.359,24.114,24.549,23.464,23.944,23.819,23.801,23.763,23.973,24.131,23.868,24.037,24.608,24.419,24.087,23.686,24.508,24.64,24.354,24.565,24.122,23.853,24.154,24.166,24.632
610,Manipur,TENGNOUPAL,23.346,23.049,23.372,23.68,23.555,23.794,23.33,23.357,23.616,23.923,23.73,23.794,23.755,23.5,23.597,23.692,23.334,23.516,23.626,23.164,22.498,23.294,23.177,23.174,23.813,23.962,24.039,23.366,24.114,24.564,23.509,23.941,23.816,23.869,23.776,23.988,24.233,23.847,24.02,24.624,24.435,24.092,23.711,24.516,24.665,24.368,24.582,24.136,23.848,24.178,24.184,24.645
611,Manipur,THOUBAL,23.346,23.029,23.264,23.668,23.479,23.826,23.411,23.276,23.561,23.89,23.736,23.737,23.731,23.49,23.53,23.693,23.326,23.539,23.644,23.144,22.503,23.141,23.181,23.012,23.829,23.965,24.023,23.367,24.047,24.557,23.527,23.942,23.818,23.872,23.796,23.995,24.249,23.85,24.023,24.626,24.449,24.084,23.722,24.524,24.669,24.37,24.583,24.135,23.853,24.183,24.204,24.657
612,Manipur,UKHRUL,23.371,23.108,23.345,23.733,23.514,23.817,23.355,23.305,23.531,23.809,23.605,23.708,23.637,23.369,23.522,23.655,23.278,23.342,23.471,23.009,22.381,23.167,22.961,23.248,23.6,23.729,23.822,23.202,24.015,24.415,23.284,23.805,23.695,23.585,23.575,23.787,23.954,23.848,23.939,24.477,24.22,24.059,23.535,24.34,24.433,24.22,24.392,24.055,23.81,23.935,24.026,24.444
613,Meghalaya,EAST GARO HILLS,21.503,21.157,21.367,21.787,21.199,21.18,21.501,21.177,21.46,21.845,21.648,21.533,21.361,21.094,21.187,21.402,21.348,21.842,21.945,21.318,21.442,21.23,21.018,20.936,21.76,21.817,21.875,21.223,22.093,22.475,21.502,21.904,21.697,21.574,21.616,22.025,22.319,21.987,21.981,22.517,22.346,21.948,21.581,22.279,22.298,21.908,22.436,22.074,21.845,22.263,22.11,22.689
614,Meghalaya,EAST JAINTIA HILLS,21.829,21.26,21.589,21.846,21.653,21.596,21.711,21.648,21.991,22.268,22.252,21.927,21.86,21.741,21.715,21.964,21.782,22.139,22.015,21.385,21.143,21.44,21.396,21.28,22.112,22.18,22.242,21.647,22.391,22.835,21.799,22.238,22.078,22.025,22.086,22.292,22.56,22.147,22.282,22.871,22.64,22.278,21.933,22.687,22.774,22.409,22.79,22.412,22.181,22.556,22.504,22.993
